CLAS physics database search results
Measurement E30M1
G11A Run K+Lambda Data
M. McCracken, C. A. Meyer
2008

W	cos(theta_K+)	dsigma/dcos(theta K+)	Data errors
GeV	dimensionless	mcb	mcb
2.045	0.3	0.9117	0.0224
2.045	0.4	1.0654	0.0213
2.045	0.5	1.204	0.0217
2.045	0.6	1.447	0.0243
2.045	0.7	1.6007	0.0273
2.045	0.8	1.6841	0.0336
2.045	0.89	2.1555	0.1181
2.055	-0.9	0.5458	0.2441
2.055	-0.8	0.4503	0.0406
2.055	-0.7	0.3381	0.0186
2.055	-0.6	0.2545	0.0156
2.055	-0.5	0.1841	0.0111
2.055	-0.4	0.1524	0.0092
2.055	-0.3	0.1591	0.0082
2.055	-0.2	0.2078	0.0094
2.055	-0.1	0.3205	0.0125
2.055	0	0.4535	0.0153
2.055	0.1	0.5792	0.0182
2.055	0.2	0.7	0.0154
2.055	0.3	0.8863	0.0184
2.055	0.4	1.0768	0.0206
2.055	0.5	1.1778	0.0203
2.055	0.6	1.4385	0.0231
2.055	0.7	1.742	0.028
2.055	0.8	1.7498	0.0331
2.055	0.89	1.7517	0.0993
2.065	-0.9	0.5339	0.1119
2.065	-0.8	0.4651	0.0423
2.065	-0.7	0.3414	0.0202
2.065	-0.6	0.2429	0.0146
2.065	-0.5	0.1856	0.0129
2.065	-0.4	0.1609	0.0097
2.065	-0.3	0.1651	0.0086
2.065	-0.2	0.2112	0.0101
2.065	-0.1	0.2929	0.0122
2.065	0	0.467	0.0169
2.065	0.1	0.5597	0.0187
2.065	0.2	0.6825	0.0199
2.065	0.3	0.9026	0.0273
2.065	0.4	1.0821	0.0298
2.065	0.5	1.2342	0.0218
2.065	0.6	1.4178	0.0236
2.065	0.7	1.5943	0.0266
2.065	0.8	1.7459	0.0326
2.065	0.89	1.9502	0.0958
2.075	-0.9	0.4745	0.1705
2.075	-0.8	0.449	0.0386
2.075	-0.7	0.2988	0.0169
2.075	-0.6	0.2048	0.012
